generation,avg_best_fitness,avg_population_fitness
0,0.64867596,0.70966743
1,0.64579330,0.70123566
2,0.64230610,0.69508555
3,0.63976557,0.69083367
4,0.63548095,0.68701572
5,0.63027780,0.68353075
6,0.62465903,0.67938880
7,0.62299299,0.67703687
8,0.62247406,0.67330938
9,0.61042090,0.66995097
10,0.61042090,0.66613539
11,0.60964734,0.66391832
12,0.60328881,0.66055978
13,0.60169117,0.65809697
14,0.59912153,0.65559605
15,0.59639189,0.65214485
16,0.59194571,0.64836123
17,0.58623003,0.64415584
18,0.58255749,0.64264845
19,0.58006384,0.64009215
20,0.57988606,0.63903216
21,0.57645215,0.63525109
22,0.57332331,0.63343206
23,0.57304202,0.63129697
24,0.57235229,0.62702856
25,0.56932417,0.62665976
26,0.56904664,0.62436322
27,0.56277931,0.62446466
28,0.55846197,0.62186965
29,0.55816349,0.62095877
30,0.55780456,0.62135322
31,0.55765153,0.61780329
32,0.55455877,0.61967409
33,0.55455877,0.61901397
34,0.55225588,0.61652181
35,0.55225588,0.61764728
36,0.55041304,0.61657992
37,0.55026001,0.61314646
38,0.54921362,0.61276121
39,0.54921362,0.61365499
40,0.54731749,0.61364142
41,0.54716447,0.61097802
42,0.54716447,0.61369608
43,0.54716447,0.61177294
44,0.54685842,0.61352225
45,0.54502215,0.61281896
46,0.54502215,0.61269359
47,0.54502215,0.61012516
48,0.54502215,0.61118643
49,0.54319345,0.61159892
50,0.54319345,0.61044813
51,0.54319345,0.61037952
52,0.54319345,0.60828675
53,0.54242078,0.60935569
54,0.54212229,0.61067274
55,0.54212229,0.60990863
56,0.54149300,0.60769605
57,0.54149300,0.60971383
58,0.54149300,0.60975276
59,0.54149300,0.60766235
60,0.53601861,0.60932192
61,0.53601861,0.60883560
62,0.53601861,0.61114086
63,0.53586559,0.61159369
64,0.53586559,0.60999572
65,0.53586559,0.60821600
66,0.53586559,0.60855041
67,0.53586559,0.60836826
68,0.53586559,0.60857699
69,0.53586559,0.60824804
70,0.53538932,0.61003867
71,0.53538932,0.60642137
72,0.53522874,0.61036807
73,0.53505096,0.60917435
74,0.53505096,0.60740962
75,0.53505096,0.61077667
76,0.53505096,0.60859114
77,0.53505096,0.60777377
78,0.53156376,0.60736677
79,0.53156376,0.60815174
80,0.53097644,0.60784460
81,0.53097644,0.60897078
82,0.53082342,0.60669455
83,0.53043933,0.60663727
84,0.52920759,0.61066232
85,0.52920759,0.60804638
86,0.52920759,0.60811346
87,0.52920759,0.60852371
88,0.52920759,0.60762191
89,0.52920759,0.60617580
90,0.52920759,0.60677869
91,0.52920759,0.60628458
92,0.52920759,0.60690329
93,0.52902225,0.60577916
94,0.52902225,0.60386533
95,0.52902225,0.60444114
96,0.52902225,0.60559136
97,0.52902225,0.60398431
98,0.52902225,0.60507945
99,0.52902225,0.60551215
100,0.52902225,0.60708382
101,0.52902225,0.60912320
102,0.52902225,0.60582507
103,0.52902225,0.60498152
104,0.52902225,0.60356554
105,0.52902225,0.60486689
106,0.52902225,0.60627555
107,0.52902225,0.60379751
108,0.52902225,0.60978550
109,0.52797586,0.60719640
110,0.52797586,0.60765585
111,0.52644563,0.60506991
112,0.52644563,0.60524226
113,0.52644563,0.60654247
114,0.52644563,0.60555859
115,0.52644563,0.60702159
116,0.52644563,0.60498467
117,0.52644563,0.60328057
118,0.52644563,0.60292533
119,0.52644563,0.60529181
120,0.52644563,0.60286221
121,0.52644563,0.60260655
122,0.52616435,0.60411689
123,0.52616435,0.60267059
124,0.52592671,0.60122506
125,0.52592671,0.60215197
126,0.52592671,0.60430345
127,0.52592671,0.60409471
128,0.52592670,0.60197366
129,0.52571284,0.60039182
130,0.52570528,0.60092389
131,0.52570528,0.60071799
132,0.52525378,0.60250046
133,0.52525378,0.60344652
134,0.52525378,0.60531918
135,0.52525378,0.60399833
136,0.52525378,0.60359261
137,0.52507600,0.60475074
138,0.52507600,0.60320244
139,0.52507600,0.60144256
140,0.52507600,0.60164227
141,0.52507600,0.60395672
142,0.52507600,0.60329604
143,0.52507600,0.60574765
144,0.52507600,0.60145373
145,0.52507600,0.60540574
146,0.52507600,0.60669965
147,0.52507600,0.60441060
148,0.52507600,0.60463640
149,0.52507600,0.60744230
150,0.52507600,0.60561730
151,0.52507600,0.60276075
152,0.52507599,0.60344762
153,0.52507599,0.60365413
154,0.52507599,0.60495433
155,0.52507599,0.60470243
156,0.52507599,0.60335065
157,0.52507599,0.60425331
158,0.52507599,0.60547757
159,0.52507599,0.60586772
160,0.52491541,0.60376526
161,0.52491541,0.60307022
162,0.52491541,0.60586827
163,0.52491541,0.60354714
164,0.52491541,0.60584323
165,0.52491541,0.60501268
166,0.52307915,0.60028236
167,0.52307915,0.60190621
168,0.52307915,0.60170726
169,0.52307915,0.60230291
170,0.52278066,0.60215620
171,0.52278066,0.60174993
172,0.52278066,0.59979492
173,0.52278066,0.60162058
174,0.52278066,0.60121961
175,0.52278066,0.60323493
176,0.52278066,0.60323306
177,0.52232159,0.60054961
178,0.52232159,0.60099245
179,0.52133506,0.60024459
180,0.52133506,0.59984564
181,0.52114595,0.60228231
182,0.52068689,0.60372901
183,0.52068689,0.60304969
184,0.52068689,0.60207995
185,0.52068689,0.60108992
186,0.52068689,0.60206539
187,0.52068689,0.60336959
188,0.51946271,0.60301233
189,0.51946271,0.60459231
190,0.51946271,0.59921684
191,0.51946271,0.60115252
192,0.51937053,0.59959084
193,0.51937053,0.60061142
194,0.51937053,0.59888192
195,0.51937053,0.59642815
196,0.51937053,0.59899943
197,0.51937053,0.59877108
198,0.51937053,0.59994846
199,0.51912533,0.60016692
200,0.51912533,0.60013271
201,0.51912533,0.59736892
202,0.51912533,0.60081705
203,0.51912533,0.59855380
204,0.51912533,0.59972523
205,0.51910057,0.60217184
206,0.51910057,0.60180521
207,0.51910057,0.60310334
208,0.51910057,0.60137576
209,0.51910057,0.60076671
210,0.51910057,0.60056304
