generation,avg_best_fitness,avg_population_fitness
0,0.65077561,0.70989760
1,0.64392193,0.70408573
2,0.63989592,0.69831995
3,0.63635920,0.69260027
4,0.63024588,0.68796222
5,0.62316321,0.68468879
6,0.62163299,0.68060377
7,0.61570500,0.67654106
8,0.61051358,0.67263854
9,0.60541433,0.66796570
10,0.59933539,0.66071674
11,0.59572958,0.65559588
12,0.59282972,0.64911459
13,0.59018638,0.64406366
14,0.58442384,0.63909498
15,0.58124269,0.63561000
16,0.56936683,0.63091665
17,0.56144576,0.62901091
18,0.55797913,0.62669901
19,0.55797913,0.62398102
20,0.55501086,0.61897686
21,0.55501086,0.61742368
22,0.55501086,0.61589626
23,0.55385597,0.61386139
24,0.54740927,0.61353821
25,0.54366893,0.61257051
26,0.54299639,0.61021986
27,0.54299639,0.60981945
28,0.54193977,0.60789633
29,0.53848110,0.60420813
30,0.53470840,0.60532380
31,0.53351235,0.60315767
32,0.53351235,0.60311257
33,0.53351235,0.60219953
34,0.53056924,0.59963147
35,0.52939461,0.59976379
36,0.52887471,0.59839911
37,0.52539128,0.59625132
38,0.52539128,0.59664523
39,0.52536652,0.59639663
40,0.52466225,0.59824798
41,0.52223866,0.60007362
42,0.52063079,0.59650909
43,0.52063079,0.59392141
44,0.51848848,0.59561030
45,0.51848848,0.59613984
46,0.51848848,0.59407123
47,0.51848848,0.59333341
48,0.51552777,0.58951430
49,0.51552777,0.58963027
50,0.51552777,0.58964829
51,0.51552777,0.58798889
52,0.51552777,0.58896016
53,0.51552777,0.58943723
54,0.51522929,0.59041664
55,0.51438880,0.58861506
56,0.51438880,0.59003087
57,0.51438880,0.58908190
58,0.51438880,0.58978695
59,0.51438880,0.58874101
60,0.51376915,0.58752357
61,0.51259826,0.59101006
62,0.51172377,0.58959022
63,0.51172377,0.58665072
64,0.51172377,0.58803550
65,0.51172377,0.58777419
66,0.51172377,0.58757735
67,0.51120386,0.58965426
68,0.51120386,0.58910123
69,0.51120386,0.58654606
70,0.51026097,0.58672477
71,0.50829221,0.58539986
72,0.50823177,0.58523899
73,0.50823177,0.58616739
74,0.50803511,0.58456186
75,0.50803511,0.58445949
76,0.50787982,0.58854522
77,0.50787982,0.58646170
78,0.50787982,0.58578064
79,0.50787982,0.58716382
80,0.50787982,0.58753237
81,0.50787982,0.58724212
82,0.50742302,0.58662754
83,0.50742302,0.58569910
84,0.50742302,0.58856998
85,0.50742302,0.58806797
86,0.50742302,0.59001716
87,0.50742302,0.59075560
88,0.50742302,0.59083041
89,0.50742302,0.58882466
90,0.50742302,0.58789518
91,0.50742302,0.58715836
92,0.50742302,0.58855984
93,0.50697996,0.58548503
94,0.50514369,0.58643418
95,0.50514369,0.58531922
96,0.50514369,0.58730475
97,0.50514369,0.58774887
98,0.50514369,0.58598932
99,0.50514369,0.58644270
100,0.50514369,0.58659471
101,0.50514369,0.58580585
102,0.50514369,0.58416659
103,0.50514369,0.58585579
104,0.50514369,0.58447042
105,0.50514369,0.58566204
106,0.50514369,0.58386901
107,0.50514369,0.58559175
108,0.50514369,0.58504092
109,0.50514369,0.58516401
110,0.50514369,0.58360344
111,0.50514369,0.58478378
112,0.50463933,0.58509701
113,0.50463933,0.58628861
114,0.50463933,0.58712434
115,0.50463933,0.58772996
116,0.50463933,0.58774231
117,0.50463933,0.58805230
118,0.50463933,0.58702226
119,0.50463933,0.58824474
120,0.50441791,0.58809593
121,0.50441791,0.59115124
122,0.50441791,0.59027973
123,0.50441791,0.58998377
124,0.50441791,0.58665822
125,0.50441791,0.58768174
126,0.50441791,0.58878412
127,0.50441791,0.58682005
128,0.50441791,0.58703843
129,0.50441791,0.58926704
130,0.50441791,0.59102704
131,0.50441791,0.59191262
132,0.50441791,0.58990808
133,0.50441791,0.59155710
134,0.50441791,0.58780676
135,0.50441791,0.58950509
136,0.50441791,0.58689952
137,0.50441791,0.58771743
138,0.50441791,0.58767149
139,0.50441791,0.58732170
140,0.50441791,0.58857155
141,0.50441791,0.58900645
142,0.50441791,0.58984411
143,0.50441791,0.58780592
144,0.50441791,0.58812085
145,0.50441791,0.58648870
146,0.50441791,0.58494314
147,0.50441791,0.58618638
148,0.50441791,0.58747788
149,0.50441791,0.58638674
150,0.50441791,0.58688751
151,0.50441791,0.58923279
152,0.50421160,0.58659333
153,0.50421160,0.58534131
154,0.50421160,0.58525713
155,0.50421160,0.58698893
156,0.50401173,0.58718937
157,0.50401173,0.58601891
158,0.50401173,0.58505130
159,0.50401173,0.58680556
160,0.50401173,0.58629448
161,0.50401173,0.58780216
162,0.50401173,0.58564351
163,0.50235058,0.58721309
164,0.50235058,0.58804770
165,0.50235058,0.58712469
166,0.50235058,0.58658721
167,0.50235058,0.58255048
168,0.50235058,0.58509604
169,0.50235058,0.58581940
170,0.50235058,0.58627494
171,0.50235058,0.58511861
172,0.50235058,0.58673343
173,0.50235058,0.58478579
174,0.50235058,0.58417935
175,0.50235058,0.58227588
176,0.50171373,0.58677631
177,0.50171373,0.58616571
178,0.50171373,0.58313945
179,0.50171373,0.58624759
180,0.50171373,0.58587438
181,0.50167764,0.58679315
182,0.50167764,0.58553564
183,0.50023213,0.58283288
184,0.50023213,0.58239237
185,0.50023213,0.58401271
186,0.50023213,0.58524963
187,0.50023213,0.58614078
188,0.50023213,0.58626909
189,0.50023213,0.58573066
190,0.50023213,0.58577480
191,0.50023213,0.58551228
192,0.50023213,0.58663845
193,0.50023213,0.58671591
194,0.50023213,0.58552251
195,0.50023213,0.58558495
196,0.49815067,0.58426756
197,0.49815067,0.58702023
198,0.49815067,0.58314754
199,0.49815067,0.58311436
200,0.49815067,0.58226383
201,0.49815067,0.58127601
202,0.49815067,0.58408229
203,0.49815067,0.58322502
204,0.49815067,0.58560483
205,0.49815067,0.58697910
206,0.49815067,0.58352051
207,0.49815066,0.58358631
208,0.49815066,0.58546000
209,0.49815066,0.58543156
210,0.49815066,0.58713669
211,0.49815066,0.58667750
212,0.49815066,0.58607997
213,0.49815066,0.58902032
214,0.49815066,0.58394432
215,0.49815066,0.58893793
216,0.49815066,0.58469913
217,0.49815066,0.58667161
218,0.49815066,0.58691070
219,0.49815066,0.58607523
220,0.49815066,0.58762174
221,0.49815066,0.58630220
222,0.49815066,0.58651090
223,0.49815066,0.58633202
224,0.49815066,0.58785770
225,0.49815066,0.58590129
226,0.49815066,0.58300437
227,0.49815066,0.58369288
228,0.49815066,0.58499796
229,0.49815066,0.58616324
230,0.49815066,0.58395595
231,0.49815066,0.58567656
232,0.49792600,0.58484730
233,0.49792600,0.58748391
234,0.49792600,0.58590962
235,0.49792600,0.58496094
236,0.49792600,0.58867501
237,0.49792600,0.58651218
238,0.49792600,0.58723765
239,0.49792600,0.58411692
240,0.49792600,0.58491416
241,0.49792600,0.58610710
242,0.49792600,0.58295365
243,0.49792600,0.58472722
244,0.49792600,0.58483862
245,0.49792600,0.58758469
246,0.49777297,0.58490436
247,0.49597279,0.58440524
248,0.49597279,0.58535877
249,0.49597279,0.58405123
250,0.49597279,0.58280553
251,0.49597279,0.58213050
252,0.49597279,0.58539089
253,0.49597279,0.58188930
254,0.49597279,0.58267886
255,0.49597279,0.58379059
256,0.49597279,0.58614721
257,0.49597279,0.58338738
258,0.49597279,0.58554529
259,0.49597279,0.58434667
260,0.49597279,0.58458307
261,0.49597279,0.58339764
262,0.49597279,0.58767760
263,0.49597279,0.58368333
264,0.49597279,0.58058763
265,0.49597279,0.58334265
266,0.49597279,0.58063806
267,0.49597279,0.58154815
268,0.49597279,0.58073642
269,0.49597279,0.58412835
270,0.49597279,0.58233820
271,0.49597279,0.58134191
272,0.49597279,0.58485998
273,0.49597279,0.58472907
274,0.49597279,0.58401341
275,0.49597279,0.58550002
276,0.49597279,0.58269324
277,0.49597279,0.58344847
278,0.49597279,0.58461966
279,0.49597279,0.58253118
280,0.49597279,0.58666962
281,0.49597279,0.58385236
282,0.49597279,0.58247229
283,0.49597279,0.58583891
284,0.49597279,0.58328717
285,0.49597279,0.58392820
286,0.49597279,0.58470075
287,0.49597279,0.58565535
288,0.49597279,0.58480563
289,0.49597279,0.58577831
290,0.49597279,0.58620669
291,0.49597279,0.58448934
292,0.49597279,0.58393943
293,0.49597279,0.58506068
294,0.49597279,0.58398499
295,0.49597279,0.58407975
296,0.49597279,0.58399936
297,0.49597279,0.58391756
298,0.49597279,0.58220483
299,0.49597279,0.58213221
300,0.49597279,0.58126989
301,0.49597279,0.58406428
302,0.49597279,0.58633099
303,0.49597279,0.58252796
304,0.49597279,0.58171514
305,0.49597279,0.58193399
306,0.49597279,0.58418337
307,0.49597279,0.58504493
308,0.49597279,0.58635338
309,0.49597279,0.58600451
310,0.49597279,0.58395326
311,0.49597279,0.58363929
312,0.49597279,0.58699347
313,0.49597279,0.58596340
314,0.49597279,0.58370922
315,0.49597279,0.58500524
316,0.49597279,0.58531806
317,0.49597279,0.58545424
318,0.49597279,0.58243048
319,0.49597279,0.58214167
320,0.49597279,0.58280560
321,0.49597279,0.58405366
322,0.49597279,0.58418518
323,0.49597279,0.58356910
324,0.49597279,0.58453219
325,0.49597279,0.58277949
326,0.49597279,0.58426204
327,0.49597279,0.58588256
328,0.49597279,0.58544231
329,0.49597279,0.58404609
330,0.49597279,0.58558804
331,0.49561013,0.58432099
332,0.49561013,0.58398864
333,0.49561013,0.58438131
334,0.49561013,0.58584517
335,0.49561013,0.58921259
336,0.49561013,0.58622449
337,0.49561013,0.58552774
338,0.49561013,0.58559221
339,0.49561013,0.58597571
340,0.49561013,0.58379190
341,0.49561013,0.58642722
342,0.49561013,0.58432216
343,0.49561013,0.58486029
344,0.49561013,0.58553152
345,0.49561013,0.58561374
346,0.49561013,0.58770908
347,0.49561013,0.58716360
