generation,avg_best_fitness,avg_population_fitness
0,0.64722378,0.71030895
1,0.64113521,0.69902635
2,0.63618522,0.69090685
3,0.63103198,0.68542307
4,0.62631682,0.67843206
5,0.62118207,0.66994577
6,0.61460487,0.66477832
7,0.61147700,0.65593394
8,0.60763091,0.64614588
9,0.60328545,0.63857727
10,0.60077512,0.62982354
11,0.59541726,0.62569181
12,0.59255180,0.62026039
13,0.58526660,0.61359908
14,0.58132034,0.60717419
15,0.57798954,0.60293738
16,0.57578678,0.59782809
17,0.57225007,0.59445538
18,0.57054038,0.59015792
19,0.56594803,0.58574156
20,0.56345282,0.58159566
21,0.55804040,0.57844714
22,0.55736426,0.57434783
23,0.55341741,0.57255690
24,0.55056327,0.56903308
25,0.54852071,0.56556077
26,0.54629377,0.56179857
27,0.54409986,0.56011413
28,0.53982865,0.55799611
29,0.53845901,0.55535764
30,0.53609585,0.55187048
31,0.53459736,0.55110469
32,0.53312759,0.54645585
33,0.52931755,0.54473603
34,0.52806803,0.54207799
35,0.52763430,0.54169744
36,0.52591874,0.53772092
37,0.52533141,0.53800346
38,0.52264444,0.53624768
39,0.52087599,0.53321123
40,0.51917065,0.53255045
41,0.51701114,0.53108623
42,0.51605733,0.53013668
43,0.51468013,0.52912806
44,0.51227501,0.52708403
45,0.51004915,0.52501552
46,0.50657328,0.52271981
47,0.50587618,0.52234573
48,0.50481680,0.52054133
49,0.50437074,0.51782665
50,0.50267994,0.51629446
51,0.50140288,0.51574192
52,0.50120413,0.51227495
53,0.49950577,0.51171282
54,0.49861995,0.51066093
55,0.49638448,0.51215760
56,0.49578959,0.50962151
57,0.49539137,0.50709912
58,0.49433074,0.50555880
59,0.49391991,0.50636238
60,0.49345665,0.50498153
61,0.49302990,0.50272456
62,0.49222911,0.50266964
63,0.49144190,0.50273388
64,0.49032276,0.50127369
65,0.48961093,0.50180879
66,0.48873436,0.50085935
67,0.48764640,0.49798661
68,0.48764640,0.49866303
69,0.48659245,0.49733674
70,0.48598791,0.49779163
71,0.48533515,0.49682159
72,0.48441742,0.49479227
73,0.48344278,0.49484499
74,0.48295559,0.49473476
75,0.48235106,0.49421902
76,0.48213720,0.49221476
77,0.48104731,0.49101908
78,0.48070558,0.49125074
