generation,avg_best_fitness,avg_population_fitness
0,0.65162534,0.70994496
1,0.63905276,0.70250547
2,0.63666149,0.69700766
3,0.62975073,0.68992570
4,0.62247896,0.68343825
5,0.61417855,0.67558977
6,0.60369010,0.66636643
7,0.59756921,0.65309450
8,0.58757744,0.64000965
9,0.58109811,0.62571582
10,0.56979167,0.61180702
11,0.55709273,0.59992602
12,0.54812239,0.58791598
13,0.54224582,0.57696965
14,0.53311777,0.56674707
15,0.52518537,0.55702999
16,0.51735648,0.54757770
17,0.51307146,0.53941162
18,0.50823501,0.53128361
19,0.50365907,0.52452597
20,0.50065512,0.51820037
21,0.49751152,0.51263596
22,0.49165533,0.50749308
23,0.48928462,0.50274129
24,0.48660239,0.49870993
25,0.48565570,0.49537123
26,0.48279027,0.49212813
27,0.48176217,0.48939562
28,0.48082366,0.48699958
29,0.48005475,0.48522236
30,0.47943890,0.48389225
31,0.47910152,0.48273811
32,0.47906920,0.48168603
33,0.47906920,0.48091451
34,0.47894849,0.48040613
35,0.47894849,0.48012825
36,0.47894093,0.47987606
37,0.47894093,0.47965356
38,0.47894093,0.47951167
39,0.47894093,0.47946124
40,0.47894093,0.47949566
41,0.47894093,0.47945035
42,0.47894093,0.47936967
43,0.47894093,0.47920160
44,0.47894093,0.47904544
45,0.47894093,0.47897137
46,0.47894093,0.47895930
47,0.47894093,0.47894226
48,0.47894093,0.47894093
49,0.47894093,0.47894093
50,0.47894093,0.47894093
51,0.47894093,0.47894093
52,0.47894093,0.47894093
53,0.47894093,0.47894093
54,0.47894093,0.47894093
55,0.47894093,0.47894093
56,0.47894093,0.47894093
57,0.47894093,0.47894093
58,0.47894093,0.47894093
59,0.47894093,0.47894093
60,0.47894093,0.47894093
61,0.47894093,0.47894093
62,0.47894093,0.47894093
63,0.47894093,0.47894093
64,0.47894093,0.47894093
65,0.47894093,0.47894093
66,0.47894093,0.47894093
67,0.47894093,0.47894093
68,0.47894093,0.47894093
69,0.47894093,0.47894093
70,0.47894093,0.47894093
71,0.47894093,0.47894093
72,0.47894093,0.47894093
73,0.47894093,0.47894093
74,0.47894093,0.47894093
75,0.47894093,0.47894093
76,0.47894093,0.47894093
77,0.47894093,0.47894093
78,0.47894093,0.47894093
79,0.47894093,0.47894093
80,0.47894093,0.47894093
81,0.47894093,0.47894093
82,0.47894093,0.47894093
83,0.47894093,0.47894093
84,0.47894093,0.47894093
85,0.47894093,0.47894093
86,0.47894093,0.47894093
87,0.47894093,0.47894093
88,0.47894093,0.47894093
89,0.47894093,0.47894093
90,0.47894093,0.47894093
91,0.47894093,0.47894093
92,0.47894093,0.47894093
93,0.47894093,0.47894093
94,0.47894093,0.47894093
95,0.47894093,0.47894093
96,0.47894093,0.47894093
97,0.47894093,0.47894093
98,0.47894093,0.47894093
99,0.47894093,0.47894093
100,0.47894093,0.47894093
101,0.47894093,0.47894093
102,0.47894093,0.47894093
103,0.47894093,0.47894093
104,0.47894093,0.47894093
105,0.47894093,0.47894093
106,0.47894093,0.47894093
107,0.47894093,0.47894093
108,0.47894093,0.47894093
109,0.47894093,0.47894093
110,0.47894093,0.47894093
111,0.47894093,0.47894093
112,0.47894093,0.47894093
113,0.47894093,0.47894093
114,0.47894093,0.47894093
115,0.47894093,0.47894093
116,0.47894093,0.47894093
117,0.47894093,0.47894093
118,0.47894093,0.47894093
119,0.47894093,0.47894093
120,0.47894093,0.47894093
121,0.47894093,0.47894093
122,0.47894093,0.47894093
123,0.47894093,0.47894093
124,0.47894093,0.47894093
125,0.47894093,0.47894093
126,0.47894093,0.47894093
127,0.47894093,0.47894093
128,0.47894093,0.47894093
129,0.47894093,0.47894093
130,0.47894093,0.47894093
131,0.47894093,0.47894093
132,0.47894093,0.47894093
133,0.47894093,0.47894093
134,0.47894093,0.47894093
135,0.47894093,0.47894093
136,0.47894093,0.47894093
137,0.47894093,0.47894093
138,0.47894093,0.47894093
139,0.47894093,0.47894093
140,0.47894093,0.47894093
141,0.47894093,0.47894093
142,0.47894093,0.47894093
143,0.47894093,0.47894093
144,0.47894093,0.47894093
145,0.47894093,0.47894093
146,0.47894093,0.47894093
147,0.47894093,0.47894093
148,0.47894093,0.47894093
149,0.47894093,0.47894093
150,0.47894093,0.47894093
151,0.47894093,0.47894093
152,0.47894093,0.47894093
153,0.47894093,0.47894093
154,0.47894093,0.47894093
155,0.47894093,0.47894093
156,0.47894093,0.47894093
157,0.47894093,0.47894093
158,0.47894093,0.47894093
159,0.47894093,0.47894093
160,0.47894093,0.47894093
161,0.47894093,0.47894093
162,0.47894093,0.47894093
163,0.47894093,0.47894093
164,0.47894093,0.47894093
165,0.47894093,0.47894093
166,0.47894093,0.47894093
167,0.47894093,0.47894093
168,0.47894093,0.47894093
169,0.47894093,0.47894093
170,0.47894093,0.47894093
171,0.47894093,0.47894093
172,0.47894093,0.47894093
173,0.47894093,0.47894093
174,0.47894093,0.47894093
175,0.47894093,0.47894093
176,0.47894093,0.47894093
177,0.47894093,0.47894093
178,0.47894093,0.47894093
179,0.47894093,0.47894093
180,0.47894093,0.47894093
181,0.47894093,0.47894093
182,0.47894093,0.47894093
183,0.47894093,0.47894093
184,0.47894093,0.47894093
185,0.47894093,0.47894093
186,0.47894093,0.47894093
187,0.47894093,0.47894093
188,0.47894093,0.47894093
189,0.47894093,0.47894093
190,0.47894093,0.47894093
191,0.47894093,0.47894093
192,0.47894093,0.47894093
193,0.47894093,0.47894093
194,0.47894093,0.47894093
195,0.47894093,0.47894093
196,0.47894093,0.47894093
197,0.47894093,0.47894093
198,0.47894093,0.47894093
199,0.47894093,0.47894093
200,0.47894093,0.47894093
201,0.47894093,0.47894093
202,0.47894093,0.47894093
203,0.47894093,0.47894093
204,0.47894093,0.47894093
205,0.47894093,0.47894093
206,0.47894093,0.47894093
207,0.47894093,0.47894093
208,0.47894093,0.47894093
209,0.47894093,0.47894093
210,0.47894093,0.47894093
211,0.47894093,0.47894093
212,0.47894093,0.47894093
213,0.47894093,0.47894093
214,0.47894093,0.47894093
215,0.47894093,0.47894093
216,0.47894093,0.47894093
