generation,avg_best_fitness,avg_population_fitness
0,0.65278966,0.71147198
1,0.64510623,0.70137850
2,0.63927419,0.69511098
3,0.63558445,0.68853066
4,0.63110317,0.68206630
5,0.62319174,0.67290864
6,0.61317313,0.66422216
7,0.60236352,0.65350841
8,0.59397108,0.64251639
9,0.58775425,0.63236674
10,0.57225971,0.62204320
11,0.56782167,0.61214058
12,0.56385861,0.60270930
13,0.55299988,0.59334924
14,0.54781126,0.58398866
15,0.54287189,0.57543667
16,0.53481460,0.56532890
17,0.52812888,0.55735874
18,0.52345359,0.54991406
19,0.51400888,0.54386904
20,0.51163061,0.53833071
21,0.50850497,0.53257106
22,0.50464599,0.52727239
23,0.50069723,0.52200148
24,0.49714372,0.51828076
25,0.49410145,0.51330537
26,0.49071342,0.51020270
27,0.48958898,0.50767267
28,0.48584067,0.50369906
29,0.48455605,0.49966074
30,0.48300903,0.49663931
31,0.48106546,0.49461541
32,0.47904009,0.49319479
33,0.47781591,0.49055422
34,0.47729013,0.48998983
35,0.47540324,0.48813123
36,0.47332177,0.48699734
37,0.47316875,0.48474861
38,0.47117698,0.48229390
39,0.47010075,0.48275875
40,0.46933227,0.48165382
41,0.46916107,0.48017082
42,0.46777592,0.47958535
43,0.46728174,0.47934127
44,0.46664529,0.47658724
45,0.46566730,0.47753367
46,0.46497717,0.47347823
47,0.46469166,0.47569220
48,0.46331489,0.47477425
49,0.46286338,0.47356107
50,0.46199813,0.47164896
51,0.46171685,0.47285988
52,0.46171685,0.47105325
53,0.46132618,0.47132106
54,0.46127498,0.47049761
55,0.46085955,0.46854813
56,0.46055351,0.46815594
57,0.46035516,0.46918564
58,0.46010161,0.46745039
59,0.45985640,0.46709638
60,0.45940738,0.46888007
61,0.45864227,0.46770694
62,0.45844392,0.46649172
63,0.45800165,0.46648622
64,0.45769601,0.46424921
65,0.45751067,0.46497601
66,0.45720462,0.46563667
67,0.45688138,0.46500366
68,0.45688138,0.46518256
69,0.45688138,0.46412173
70,0.45655057,0.46308883
71,0.45641356,0.46300352
72,0.45641356,0.46438423
73,0.45641356,0.46271503
74,0.45610751,0.46203966
75,0.45598681,0.46252838
76,0.45598681,0.46301317
77,0.45597836,0.46236453
78,0.45597836,0.46357266
79,0.45597836,0.46256985
80,0.45597836,0.46181203
81,0.45582623,0.46152035
82,0.45582623,0.46135285
83,0.45582623,0.46060603
84,0.45567321,0.46114875
85,0.45506956,0.46231147
86,0.45506956,0.46283858
87,0.45506956,0.46194152
88,0.45491654,0.46140610
89,0.45491654,0.46232159
90,0.45486326,0.46145430
91,0.45450394,0.46065879
92,0.45450394,0.46014237
93,0.45383976,0.46010840
94,0.45383976,0.46129333
95,0.45383976,0.45956606
96,0.45374757,0.46117934
97,0.45353371,0.46010239
98,0.45353371,0.46048133
99,0.45338069,0.46089977
100,0.45338069,0.46056063
101,0.45338069,0.45995738
102,0.45306708,0.46009036
103,0.45306708,0.46025476
104,0.45286672,0.45919744
105,0.45286672,0.45970688
106,0.45283063,0.46009137
107,0.45250828,0.45936777
108,0.45239134,0.45898834
109,0.45239134,0.46025812
110,0.45239134,0.45811256
111,0.45202445,0.45815132
112,0.45179339,0.45975606
113,0.45179339,0.45927693
114,0.45151498,0.45930278
115,0.45138672,0.45905571
116,0.45138672,0.45789918
117,0.45092009,0.45677972
118,0.45076707,0.45895281
119,0.45073099,0.45838077
120,0.45073099,0.45809390
121,0.45073098,0.45760099
122,0.45073098,0.45669973
123,0.45071645,0.45681051
124,0.45071645,0.45845038
125,0.45071645,0.45653970
126,0.45071645,0.45765564
127,0.45056342,0.45749957
128,0.45056342,0.45665359
129,0.45019752,0.45711790
130,0.45019752,0.45631906
131,0.45019752,0.45633939
132,0.45002819,0.45684016
133,0.45002819,0.45657982
134,0.45002819,0.45638591
135,0.44998286,0.45716518
136,0.44998286,0.45772200
137,0.44998286,0.45751581
138,0.44986592,0.45590273
139,0.44986592,0.45505572
140,0.44986592,0.45577469
141,0.44986592,0.45574904
142,0.44986592,0.45820892
143,0.44985836,0.45666688
144,0.44985836,0.45771121
145,0.44985836,0.45862252
146,0.44985836,0.45650316
147,0.44985836,0.45692413
148,0.44985836,0.45590918
149,0.44985836,0.45463649
150,0.44965206,0.45645310
151,0.44965206,0.45536956
152,0.44965206,0.45699057
153,0.44965206,0.45562612
154,0.44965206,0.45570889
155,0.44965206,0.45546870
156,0.44965206,0.45745721
157,0.44965206,0.45749516
158,0.44965206,0.45473753
159,0.44965206,0.45648434
160,0.44965206,0.45531345
161,0.44965206,0.45561939
162,0.44965206,0.45613023
163,0.44965206,0.45756985
164,0.44965206,0.45674684
165,0.44965206,0.45533738
166,0.44965206,0.45573037
167,0.44965206,0.45479692
168,0.44965206,0.45567825
169,0.44965206,0.45557432
170,0.44965206,0.45488149
171,0.44965206,0.45514320
172,0.44965206,0.45548391
173,0.44965206,0.45482845
174,0.44965206,0.45534199
175,0.44965206,0.45484584
176,0.44965206,0.45423376
177,0.44952716,0.45768901
178,0.44952716,0.45554101
179,0.44952716,0.45623314
180,0.44952716,0.45699659
181,0.44952716,0.45536507
182,0.44952716,0.45561205
183,0.44952716,0.45505677
184,0.44952716,0.45606902
185,0.44952716,0.45522732
186,0.44952716,0.45745516
187,0.44952716,0.45416526
188,0.44952716,0.45499895
189,0.44952716,0.45539341
